zips	lat	long	city	stateshort	state	county
32004	29.937673	-81.420603	Ponte Vedra Beach	FL	Florida	Saint Johns
32008	30.101927	-82.908004	Branford	FL	Florida	Suwannee
32011	30.556322	-81.837594	Callahan	FL	Florida	Nassau
32024	30.105451	-82.687780	Lake City	FL	Florida	Columbia
32034	30.607780	-81.682889	Fernandina Beach	FL	Florida	Nassau
32041	30.623300	-81.590249	Yulee	FL	Florida	Nassau
32042	29.968926	-82.122553	Graham	FL	Florida	Bradford
32043	29.998318	-81.764680	Green Cove Springs	FL	Florida	Clay
32046	30.670745	-81.894528	Hilliard	FL	Florida	Nassau
32050	30.031702	-81.848401	Middleburg	FL	Florida	Clay
32052	30.495814	-82.985428	Jasper	FL	Florida	Hamilton
32054	30.007626	-82.341422	Lake Butler	FL	Florida	Union
32059	30.498591	-83.361506	Lee	FL	Florida	Madison
32060	30.175865	-83.030438	Live Oak	FL	Florida	Suwannee
32063	30.284628	-82.160139	Macclenny	FL	Florida	Baker
32065	29.986046	-81.883212	Orange Park	FL	Florida	Clay
32066	30.148296	-83.210982	Mayo	FL	Florida	Lafayette
32091	29.928149	-82.179651	Starke	FL	Florida	Bradford
32094	30.194651	-82.857328	Wellborn	FL	Florida	Suwannee
32099	30.337538	-81.768622	Jacksonville	FL	Florida	Duval
32110	29.402177	-81.334250	Bunnell	FL	Florida	Flagler
32111	29.060711	-81.969048	Candler	FL	Florida	Marion
32112	29.511518	-81.681387	Crescent City	FL	Florida	Putnam
32114	29.146163	-81.053368	Daytona Beach	FL	Florida	Volusia
32129	29.022729	-81.172169	Port Orange	FL	Florida	Volusia
32130	29.183646	-81.329387	De Leon Springs	FL	Florida	Volusia
32132	28.974136	-80.922910	Edgewater	FL	Florida	Volusia
32135	29.466085	-81.282815	Palm Coast	FL	Florida	Flagler
32136	29.509845	-81.182950	Flagler Beach	FL	Florida	Flagler
32158	28.811078	-81.653642	Lady Lake	FL	Florida	Lake
32168	28.951931	-81.033705	New Smyrna Beach	FL	Florida	Volusia
32173	29.022729	-81.172169	Ormond Beach	FL	Florida	Volusia
32177	29.611093	-81.785957	Palatka	FL	Florida	Putnam
32180	29.244623	-81.471982	Pierson	FL	Florida	Volusia
32181	29.539751	-81.613183	Pomona Park	FL	Florida	Putnam
32233	30.352390	-81.517761	Atlantic Beach	FL	Florida	Duval
32240	30.344940	-81.683107	Jacksonville Beach	FL	Florida	Duval
32266	30.315978	-81.408006	Neptune Beach	FL	Florida	Duval
32301	30.418514	-84.203379	Tallahassee	FL	Florida	Leon
32320	29.819333	-84.852937	Apalachicola	FL	Florida	Franklin
32324	30.640548	-84.780758	Chattahoochee	FL	Florida	Gadsden
32326	30.183372	-84.349060	Crawfordville	FL	Florida	Wakulla
32328	29.749548	-84.816238	Eastpoint	FL	Florida	Franklin
32333	30.591733	-84.574009	Havana	FL	Florida	Gadsden
32340	30.527068	-83.388742	Madison	FL	Florida	Madison
32344	30.504216	-83.843279	Monticello	FL	Florida	Jefferson
32347	29.931864	-83.551460	Perry	FL	Florida	Taylor
32351	30.555675	-84.631830	Quincy	FL	Florida	Gadsden
32352	30.665715	-84.753630	Quincy	FL	Florida	Gadsden
32401	30.192200	-85.663027	Panama City	FL	Florida	Bay
32407	30.200682	-85.813624	Panama City Beach	FL	Florida	Bay
